Plant_ID,Scientific_Name,Common_Names,Genus,Family,Plant_Type,Native_Region
1173,Eucalyptus striaticalyx,"Cue York gum, kopi gum
Eucalyptus striaticalyx subsp. delicata D.Nicolle & P.J.Lang
Eucalyptus striaticalyx W.Fitzg. subsp. striaticalyx",Eucalyptus,Myrtaceae,Tree,"Cue York gum, kopi gum
Eucalyptus striaticalyx subsp. delicata D.Nicolle & P.J.Lang
Eucalyptus striaticalyx W.Fitzg. subsp. striaticalyx"
1174,Eucalyptus stricklandii,Strickland's gum,Eucalyptus,Myrtaceae,Tree,Strickland's gum
1175,Eucalyptus stricta,Blue Mountains mallee ash,Eucalyptus,Myrtaceae,Tree,Blue Mountains mallee ash
1176,Eucalyptus strzeleckii,"Strzelecki gum, wax-tip",Eucalyptus,Myrtaceae,Tree,"Strzelecki gum, wax-tip"
1177,Eucalyptus sturgissiana,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1178,Eucalyptus subangusta,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1179,Eucalyptus subcrenulata,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1180,Eucalyptus suberea,"Mount Lesueur mallee, cork mallee",Eucalyptus,Myrtaceae,Tree,"Mount Lesueur mallee, cork mallee"
1181,Eucalyptus subtilis,narrow-leaved mallee,Eucalyptus,Myrtaceae,Tree,narrow-leaved mallee
1182,Eucalyptus suffulgens,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1183,Eucalyptus suggrandis,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1184,Eucalyptus surgens,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1185,Eucalyptus sweedmaniana,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1186,Eucalyptus synandra,Jingymia mallee,Eucalyptus,Myrtaceae,Tree,Jingymia mallee
1187,Eucalyptus talyuberlup,Stirling Range yate,Eucalyptus,Myrtaceae,Tree,Stirling Range yate
1188,Eucalyptus tardecidens,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1189,Eucalyptus taurina,Helidon ironbark,Eucalyptus,Myrtaceae,Tree,Helidon ironbark
1190,Eucalyptus tectifica,"Darwin box, grey box",Eucalyptus,Myrtaceae,Tree,"Darwin box, grey box"
1191,Eucalyptus tenella,narrow-leaved stringybark,Eucalyptus,Myrtaceae,Tree,narrow-leaved stringybark
1192,Eucalyptus tenera,"glazed mallee, sand mallee",Eucalyptus,Myrtaceae,Tree,"glazed mallee, sand mallee"
1193,Eucalyptus tenuipes,narrow-leaved white mahogany,Eucalyptus,Myrtaceae,Tree,narrow-leaved white mahogany
1194,Eucalyptus tenuiramis,silver peppermint,Eucalyptus,Myrtaceae,Tree,silver peppermint
1195,Eucalyptus tenuis,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1196,Eucalyptus tephroclada,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1197,Eucalyptus tephrodes,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1198,Eucalyptus terebra,Balladonia gimlet,Eucalyptus,Myrtaceae,Tree,Balladonia gimlet
1199,Eucalyptus tereticornis,"forest red gum, blue gum, red irongum
Eucalyptus tereticornis subsp. basaltica A.R.Bean
Eucalyptus tereticornis subsp. mediana Brooker & Slee
Eucalyptus tereticornis subsp. rotunda A.R.Bean
Eucalyptus tereticornis Sm. subsp. tereticornis",Eucalyptus,Myrtaceae,Tree,"forest red gum, blue gum, red irongum
Eucalyptus tereticornis subsp. basaltica A.R.Bean
Eucalyptus tereticornis subsp. mediana Brooker & Slee
Eucalyptus tereticornis subsp. rotunda A.R.Bean
Eucalyptus tereticornis Sm. subsp. tereticornis"
1200,Eucalyptus terrica,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1201,Eucalyptus tetrapleura,square-fruited ironbark,Eucalyptus,Myrtaceae,Tree,square-fruited ironbark
1202,Eucalyptus tetraptera,"square-fruited mallee, four-winged mallee",Eucalyptus,Myrtaceae,Tree,"square-fruited mallee, four-winged mallee"
1203,Eucalyptus tetrodonta,"Darwin stringybark, messmate",Eucalyptus,Myrtaceae,Tree,"Darwin stringybark, messmate"
1204,Eucalyptus thamnoides,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1205,Eucalyptus tholiformis,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1206,Eucalyptus thozetiana,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1207,Eucalyptus tindaliae,Tindal's stringybark,Eucalyptus,Myrtaceae,Tree,Tindal's stringybark
1208,Eucalyptus tintinnans,"ringing gum, Hills salmon gum",Eucalyptus,Myrtaceae,Tree,"ringing gum, Hills salmon gum"
1209,Eucalyptus todtiana,"coastal blackbutt, pricklybark, dwutta",Eucalyptus,Myrtaceae,Tree,"coastal blackbutt, pricklybark, dwutta"
1210,Eucalyptus × tokwa,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1211,Eucalyptus torquata,"coral gum, Coolgardie gum",Eucalyptus,Myrtaceae,Tree,"coral gum, Coolgardie gum"
1212,Eucalyptus tortilis,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1213,Eucalyptus transcontinentalis,"redwood, boongul",Eucalyptus,Myrtaceae,Tree,"redwood, boongul"
1214,Eucalyptus tricarpa,"red ironbark, mugga ironbark
Eucalyptus tricarpa subsp. decora Rule
Eucalyptus tricarpa (L.A.S.Johnson) L.A.S.Johnson & K.D.Hill subsp. tricarpa",Eucalyptus,Myrtaceae,Tree,"red ironbark, mugga ironbark
Eucalyptus tricarpa subsp. decora Rule
Eucalyptus tricarpa (L.A.S.Johnson) L.A.S.Johnson & K.D.Hill subsp. tricarpa"
1215,Eucalyptus triflora,"Pigeon House ash, three-flowered ash",Eucalyptus,Myrtaceae,Tree,"Pigeon House ash, three-flowered ash"
1216,Eucalyptus trivalva,"Victoria Spring mallee, desert mallee",Eucalyptus,Myrtaceae,Tree,"Victoria Spring mallee, desert mallee"
1217,Eucalyptus tumida,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1218,Eucalyptus ultima,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1219,Eucalyptus umbra,broad-leaved white mahogany,Eucalyptus,Myrtaceae,Tree,broad-leaved white mahogany
1220,Eucalyptus umbrawarrensis,Umbrawarra gum,Eucalyptus,Myrtaceae,Tree,Umbrawarra gum
1221,Eucalyptus uncinata,hook-leaved mallee,Eucalyptus,Myrtaceae,Tree,hook-leaved mallee
1222,Eucalyptus urna,merrit,Eucalyptus,Myrtaceae,Tree,merrit
1223,Eucalyptus urnigera,urn tree,Eucalyptus,Myrtaceae,Tree,urn tree
1224,Eucalyptus × urnularis,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1225,Eucalyptus urophylla,"Timor white gum, Timor mountain gum, popo, ampupu",Eucalyptus,Myrtaceae,Tree,"Timor white gum, Timor mountain gum, popo, ampupu"
1226,Eucalyptus utilis,"coastal moort, coastal mort",Eucalyptus,Myrtaceae,Tree,"coastal moort, coastal mort"
1227,Eucalyptus valens,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1228,Eucalyptus varia,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1229,Eucalyptus vegrandis,"Ongerup mallee
Eucalyptus vegrandis subsp. recondita D.Nicolle & Brooker
Eucalyptus vegrandis L.A.S.Johnson & K.D.Hill subsp. vegrandis",Eucalyptus,Myrtaceae,Tree,"Ongerup mallee
Eucalyptus vegrandis subsp. recondita D.Nicolle & Brooker
Eucalyptus vegrandis L.A.S.Johnson & K.D.Hill subsp. vegrandis"
1230,Eucalyptus vernicosa,varnished gum,Eucalyptus,Myrtaceae,Tree,varnished gum
1231,Eucalyptus verrucata,Mount Abrupt stringybark,Eucalyptus,Myrtaceae,Tree,Mount Abrupt stringybark
1232,Eucalyptus vesiculosa,Corackerup marlock,Eucalyptus,Myrtaceae,Tree,Corackerup marlock
1233,Eucalyptus vicina,Manara Hills red gum,Eucalyptus,Myrtaceae,Tree,Manara Hills red gum
1234,Eucalyptus victoriana,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1235,Eucalyptus victrix,"smooth-barked coolibah, western coolibah, little ghost gum",Eucalyptus,Myrtaceae,Tree,"smooth-barked coolibah, western coolibah, little ghost gum"
1236,Eucalyptus viminalis,"manna gum, white gum, ribbon gum
Eucalyptus viminalis subsp. cygnetensis Boomsma
Eucalyptus viminalis subsp. hentyensis Brooker & Slee
Eucalyptus viminalis subsp. pryoriana (L.A.S.Johnson) Brooker & Slee
Eucalyptus viminalis subsp. siliceana Rule
Eucalyptus viminalis Labill. subsp. viminalis",Eucalyptus,Myrtaceae,Tree,"manna gum, white gum, ribbon gum
Eucalyptus viminalis subsp. cygnetensis Boomsma
Eucalyptus viminalis subsp. hentyensis Brooker & Slee
Eucalyptus viminalis subsp. pryoriana (L.A.S.Johnson) Brooker & Slee
Eucalyptus viminalis subsp. siliceana Rule
Eucalyptus viminalis Labill. subsp. viminalis"
1237,Eucalyptus virens,shiny-leaved ironbark,Eucalyptus,Myrtaceae,Tree,shiny-leaved ironbark
1238,Eucalyptus virginea,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1239,Eucalyptus viridis,green mallee,Eucalyptus,Myrtaceae,Tree,green mallee
1240,Eucalyptus vittata,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1241,Eucalyptus vokesensis,Vokes Hill mallee,Eucalyptus,Myrtaceae,Tree,Vokes Hill mallee
1242,Eucalyptus volcanica,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1243,Eucalyptus walshii,N/A,Eucalyptus,Myrtaceae,Tree,N/A
1244,Eucalyptus wandoo,"wandoo, dooto, warrnt, wornt
Eucalyptus wandoo subsp. pulverea Brooker & Hopper
Eucalyptus wandoo Blakely subsp. wandoo",Eucalyptus,Myrtaceae,Tree,"wandoo, dooto, warrnt, wornt
Eucalyptus wandoo subsp. pulverea Brooker & Hopper
Eucalyptus wandoo Blakely subsp. wandoo"
